date,V13 Dec13 - price,V14 Dec14 - price,V14 Dec14 - volume,V15 Dec15 - price,V15 Dec15 - volume,V16 Dec16 - price,V16 Dec16 - volume
8/29/2011,18.5,,,,,,
8/30/2011,21.5,,,,,,
8/31/2011,21.5,,,,,,
9/1/2011,22.5,,,,,,
9/2/2011,22.5,,,,,,
9/5/2011,22.5,,,,,,
9/6/2011,23,,,,,,
9/7/2011,23.75,,,,,,
9/8/2011,21.5,,,,,,
9/9/2011,21.5,,,,,,
9/12/2011,18,,,,,,
9/13/2011,18,,,,,,
9/14/2011,18.25,,,,,,
9/15/2011,18.25,,,,,,
9/16/2011,18.25,,,,,,
9/19/2011,18.25,,,,,,
9/20/2011,18.25,,,,,,
9/21/2011,18.5,,,,,,
9/22/2011,18.75,,,,,,
9/23/2011,18.75,,,,,,
9/26/2011,18.75,,,,,,
9/27/2011,18,,,,,,
9/28/2011,18.4,,,,,,
9/29/2011,18.75,,,,,,
9/30/2011,18.75,,,,,,
10/3/2011,19.25,,,,,,
10/4/2011,19.25,,,,,,
10/5/2011,18.25,,,,,,
10/6/2011,18.25,,,,,,
10/7/2011,18.25,,,,,,
10/10/2011,18.25,,,,,,
10/11/2011,18.25,,,,,,
10/12/2011,18.5,,,,,,
10/13/2011,19.5,,,,,,
10/14/2011,19.75,,,,,,
10/17/2011,19.75,,,,,,
10/18/2011,19.25,,,,,,
10/19/2011,19.25,,,,,,
10/20/2011,18.75,,,,,,
10/21/2011,18.75,,,,,,
10/24/2011,18.6,,,,,,
10/25/2011,18.6,,,,,,
10/26/2011,18.25,,,,,,
10/27/2011,18.25,,,,,,
10/28/2011,18.25,,,,,,
10/31/2011,18.25,,,,,,
11/1/2011,18.25,,,,,,
11/2/2011,18,,,,,,
11/3/2011,16.8,,,,,,
11/4/2011,16.8,,,,,,
11/7/2011,16.8,,,,,,
11/8/2011,16.75,,,,,,
11/9/2011,17.2,,,,,,
11/10/2011,17.45,,,,,,
11/11/2011,17.45,,,,,,
11/14/2011,17.6,,,,,,
11/15/2011,17.6,,,,,,
11/16/2011,17.5,,,,,,
11/17/2011,16.75,,,,,,
11/18/2011,16.25,,,,,,
11/21/2011,15.95,,,,,,
11/22/2011,16,,,,,,
11/23/2011,16,,,,,,
11/24/2011,16,,,,,,
11/25/2011,16,,,,,,
11/28/2011,15.6,,,,,,
11/29/2011,15.8,,,,,,
11/30/2011,16.25,,,,,,
12/1/2011,16.25,,,,,,
12/2/2011,16.25,,,,,,
12/5/2011,15.9,,,,,,
12/6/2011,15.6,,,,,,
12/7/2011,15.6,,,,,,
12/8/2011,15.7,,,,,,
12/9/2011,15.7,,,,,,
12/12/2011,15.7,,,,,,
12/13/2011,15.7,,,,,,
12/14/2011,15.7,,,,,,
12/15/2011,15.5,,,,,,
12/16/2011,15.5,,,,,,
12/19/2011,15.5,,,,,,
12/20/2011,15.5,,,,,,
12/21/2011,15.5,,,,,,
12/22/2011,16,,,,,,
12/23/2011,16,,,,,,
12/27/2011,16,,,,,,
12/28/2011,16.5,,,,,,
12/29/2011,16.15,,,,,,
12/30/2011,15.5,,,,,,
1/3/2012,15.4,,,,,,
1/4/2012,15.4,,,,,,
1/5/2012,15.3,,,,,,
1/6/2012,13.75,,,,,,
1/9/2012,13.75,,,,,,
1/10/2012,14.1,,,,,,
1/11/2012,14.1,,,,,,
1/12/2012,14.1,,,,,,
1/13/2012,13.8,,,,,,
1/16/2012,13.8,,,,,,
1/17/2012,13.8,,,,,,
1/18/2012,13.75,,,,,,
1/19/2012,13.75,,,,,,
1/20/2012,13.75,,,,,,
1/23/2012,13.75,,,,,,
1/24/2012,13.75,,,,,,
1/25/2012,13,,,,,,
1/26/2012,13,,,,,,
1/27/2012,13,,,,,,
1/30/2012,13.5,,,,,,
1/31/2012,13.85,,,,,,
2/1/2012,14.1,,,,,,
2/2/2012,15.05,,,,,,
2/3/2012,15.75,,,,,,
2/6/2012,15.75,,,,,,
2/7/2012,15.75,,,,,,
2/8/2012,15.75,,,,,,
2/9/2012,15,,,,,,
2/10/2012,14.7,,,,,,
2/13/2012,13.9,,,,,,
2/14/2012,14.05,,,,,,
2/15/2012,14.05,,,,,,
2/16/2012,14.25,,,,,,
2/17/2012,14.25,,,,,,
2/20/2012,14.25,,,,,,
2/21/2012,14.5,,,,,,
2/22/2012,14.4,,,,,,
2/23/2012,14.4,,,,,,
2/24/2012,14.4,,,,,,
2/27/2012,14.15,,,,,,
2/28/2012,14.15,,,,,,
2/29/2012,13.9,,,,,,
3/1/2012,13.6,,,,,,
3/2/2012,13.7,,,,,,
3/5/2012,13.7,,,,,,
3/6/2012,13.7,,,,,,
3/7/2012,14,,,,,,
3/8/2012,14.25,,,,,,
3/9/2012,14.25,,,,,,
3/12/2012,14.25,,,,,,
3/13/2012,14.5,,,,,,
3/14/2012,14.5,,,,,,
3/15/2012,14.5,,,,,,
3/16/2012,14.8,,,,,,
3/19/2012,14.8,,,,,,
3/20/2012,14.8,,,,,,
3/21/2012,14.8,,,,,,
3/22/2012,14.8,,,,,,
3/23/2012,14.8,,,,,,
3/26/2012,15,,,,,,
3/27/2012,14.9,,,,,,
3/28/2012,14.5,,,,,,
3/29/2012,14.5,,,,,,
3/30/2012,13.95,,,,,,
4/2/2012,13.95,,,,,,
4/3/2012,13.95,,,,,,
4/4/2012,13.95,,,,,,
4/5/2012,13.9,,,,,,
4/9/2012,13.9,,,,,,
4/10/2012,13.9,,,,,,
4/11/2012,13.9,,,,,,
4/12/2012,13.75,,,,,,
4/13/2012,13.8,,,,,,
4/16/2012,14,,,,,,
4/17/2012,14.8,,,,,,
4/18/2012,14.8,,,,,,
4/19/2012,15.25,,,,,,
4/20/2012,16.2,,,,,,
4/23/2012,15.45,,,,,,
4/24/2012,15.85,,,,,,
4/25/2012,15.95,,,,,,
4/26/2012,15.95,,,,,,
4/27/2012,15.95,,,,,,
4/30/2012,15.95,,,,,,
5/1/2012,15.95,,,,,,
5/2/2012,15.5,,,,,,
5/3/2012,15.5,,,,,,
5/4/2012,14.95,,,,,,
5/7/2012,15,,,,,,
5/8/2012,15,,,,,,
5/9/2012,15.2,,,,,,
5/10/2012,15.3,,,,,,
5/11/2012,15.3,,,,,,
5/14/2012,15.3,,,,,,
5/15/2012,15.5,,,,,,
5/16/2012,15.3,,,,,,
5/17/2012,15.35,,,,,,
5/18/2012,15.35,,,,,,
5/21/2012,15.35,,,,,,
5/22/2012,15.35,,,,,,
5/23/2012,15.25,,,,,,
5/24/2012,15.25,,,,,,
5/25/2012,15.15,,,,,,
5/28/2012,15.15,,,,,,
5/29/2012,15.3,,,,,,
5/30/2012,15.3,,,,,,
5/31/2012,15.5,,,,,,
6/1/2012,15.35,,,,,,
6/4/2012,15.35,,,,,,
6/5/2012,15.35,,,,,,
6/6/2012,15.35,,,,,,
6/7/2012,15.5,,,,,,
6/8/2012,16.2,,,,,,
6/11/2012,15.9,,,,,,
6/12/2012,15.6,,,,,,
6/13/2012,15.6,,,,,,
6/14/2012,15.6,,,,,,
6/15/2012,16,,,,,,
6/18/2012,16,,,,,,
6/19/2012,16.3,,,,,,
6/20/2012,16.75,,,,,,
6/21/2012,16.75,,,,,,
6/22/2012,17.15,,,,,,
6/25/2012,17.15,,,,,,
6/26/2012,17.35,,,,,,
6/27/2012,17.35,,,,,,
6/28/2012,18.25,,,,,,
6/29/2012,18.35,,,,,,
7/2/2012,18.35,,,,,,
7/3/2012,18.35,,,,,,
7/4/2012,18.35,,,,,,
7/5/2012,18.55,,,,,,
7/6/2012,18.55,,,,,,
7/9/2012,18.75,,,,,,
7/10/2012,18.75,,,,,,
7/11/2012,19,,,,,,
7/12/2012,19.05,,,,,,
7/13/2012,19.1,,,,,,
7/16/2012,19.1,,,,,,
7/17/2012,19.2,,,,,,
7/18/2012,19.25,,,,,,
7/19/2012,19.25,,,,,,
7/20/2012,19.4,,,,,,
